Video_ID	Category	Rating	Length_Of_Video	No_of_views	Uploader	No_Of_Rating
qHtXQrf0XRo	Travel & Events	0	11	53	aloie	0
5olkBYGWDa0	Sports	0	1	48	aloie	0
2s_Qf1XsfYU	Sports	0	4	60	aloie	0
I5EAMHRTQ9U	Film & Animation	4.57	285	9038	bobonokawaii	46
SooZZEha3aQ	Film & Animation	4.84	390	23753	hyperpie8	135
C6w1a3oIZ6M	Music	4.93	274	7760	Animalfreakie911	61
ljwzO45vPcw	Film & Animation	4.52	302	198562	CrisInuyasha	174
ozl_FKisEig	Music	4.78	231	15534	Su54	95
rn0oQIArLOY	Film & Animation	4.77	523	9575	hyperpie8	103
GKicLv8tfwE	Film & Animation	4.81	543	15863	amythepure	97
Qs-oGviaryA	Film & Animation	4.79	481	24940	Hentai12Lover12	24
3kBFmSnY0kw	Entertainment	4.86	236	22381	Animeruler101KS	250
0RSprRhwDXc	Music	4.78	244	14369	Su54	100
0KAHrgUXNcM	 UNA 	4.54	304	11607	CrisInuyasha	28
6IIGFIvkeIY	 UNA 	4.75	247	38867	slickvixx	174
d67J_5EVphE	Film & Animation	4.86	290	16248	tori99	125
6vZzUfv4_p4	Film & Animation	4.76	254	28538	EmoCurse	190
AYR1dFLqHvw	Film & Animation	4.75	189	16262	double0twinky	36
ZTDflf5XYPY	Entertainment	4.94	211	18918	Animeruler101KS	219
YAp2iB7tNm4	Film & Animation	4.19	306	6266	bologna500	27
D8iFxqBM9Qg	Film & Animation	4.91	226	11799	animegurl4912	58
mmt1mxjvnX0	Film & Animation	4.86	187	28621	BlacknLonleySoul	200
AYmzCJCFPbA	Film & Animation	4.85	483	8368	Animecat2	48
e18QoElkyiw	Music	2	169	1286	Shoescouk	6
xdpUyDNkXCY	Autos & Vehicles	4	4	133	Aidan724	2
#NAME?	Music	4	107	777	DeMorcan	2
Zzz4qdWc8_A	Music	5	580	135	pablosanz	1
sicRqLkjN28	Music	5	599	103	pablosanz	2
oa6MvpOl0ZU	Music	4.77	127	15093	MikeTheTeacher	13
dw1wj6XfU7I	Comedy	5	98	1523	avegemitesandwich	3
K4GFVdemV2E	Comedy	3.5	38	490	styrafoaming	2
hI6N3DEQ01M	Music	4.89	104	5022	MikeTheTeacher	9
qUnQ3F2Rwq4	Music	4.78	480	23063	ATPFestival	67
MQgKdZtyK0w	Film & Animation	0	87	260	Minimalist	0
SJnPTq0yyJk	People & Blogs	0	53	92	nfork	0
mfjBzPOgc_A	Music	0	406	60	datawaslost	0
Z_51Cu_fb5Y	Music	0	144	188	parkingtickets	0
yvZ38Yq1wlw	Music	5	439	482	wilffiv	2
SOSRbSaWGr0	Music	5	446	336	wilffiv	1
kkJu0Bapt9o	Sports	5	66	914	Qmaniac2006	4
0mFAUvd1z18	Music	5	327	68	mangenerated	1
ZgcUkiqCxpo	Film & Animation	5	79	549	quadrant2005	2
P9Er_RXGFCE	Music	5	380	300	arbethnot	2
cCIdn7uCL4g	Comedy	4.93	122	43272	restarea	126
7h3GPc_yMCE	News & Politics	4.27	93	892972	sking28	4077
a9WB_PXjTBo	News & Politics	4.47	37	2674096	McCaskill4Missouri	5116
OKs-bTL-pRg	News & Politics	4.5	63	142071	dianamherrera	153
QMliHkTDHaE	News & Politics	4.34	41	445459	McCaskill4Missouri	707
AHu5YOogV8I	Entertainment	4.75	140	137839	MaleMan1979	386
RRQaW1UQj9Q	News & Politics	4.87	433	54060	TabathaS	150
cLwOEeRLesg	News & Politics	5	157	4150	UnofficialPressTV	9
mIWNN2bnYto	News & Politics	4.47	588	1427	nicscics	38
elEwEzNWZ2E	News & Politics	4.54	232	16573	tlm207	74
tpp3PP3m8Bk	News & Politics	4.5	953	3811	ALLEANZAnazionale	8
hE3P_PbrkX4	News & Politics	3.4	1158	2748	ALLEANZAnazionale	5
WKSLKOl-SC0	News & Politics	4.85	222	5499	ClaudioPeri	13
Jg1je7qjwlE	News & Politics	3.67	376	3155	gonziVSsant	3
8d8kaHwGZkM	News & Politics	4.43	318	2412	jurgencassar	14
8aH_vV-9OQQ	News & Politics	5	440	1418	globalmediachanneltv	1
QNDf03s0jwQ	News & Politics	4.57	92	47432	omovies	192
Z_gKOCb4QBA	News & Politics	4.92	64	6024441	mauikb	3283
lHk7kYYroRU	Entertainment	4.03	62	185881	CocaColaSuperbowl	301
PE7JDIkiEZg	Entertainment	4.8	62	36940	dianamherrera	69
m7maxwKwZF8	Entertainment	5	33	2845	tempantz	4
f2WE1lR-yyQ	Sports	5	121	67	HardcoreTitantrons3	1
Kedfy9savoo	Music	4.86	273	379	BCBband	22
x26GOVJ7LQk	Entertainment	0	101	7	DOOMAnomaly	0
N1Ebnv0tMFE	Entertainment	4.74	467	80554	ShaneOMacfan101	228
phfTi2u8ZhY	Sports	4.66	492	45035	fungusmcphee	85
mFXlnEYyym0	Entertainment	4.77	536	62050	ShaneOMacfan101	175
nKhtqNGXjnA	People & Blogs	4.85	435	40928	Tombst1	108
W356F8uCYwI	Sports	4.89	214	15913	fungusmcphee	80
FpDljEOzcaM	Sports	4.25	33	372	EdgeRulz17	4
GpwqNNukFKQ	Sports	4.76	182	7627	UNARismor	17
WHobj4d9tVo	Entertainment	4.75	464	4117	madcappa123	16
mES_ygGtBg4	People & Blogs	4.82	196	8868	UNARismor	33
S0Dleg40d0g	Sports	4.71	599	25533	koloveri44	85
QdzN9Ncdo78	People & Blogs	4.91	520	17549	Tombst1	85
wDKaX0xkUmE	Entertainment	5	628	6831	badboy4lyfe2	27
q-JndN8vrrE	Entertainment	5	366	9357	badboy4lyfe2	32
TzU68Qsz9KQ	Entertainment	4.88	407	4545	madcappa123	16
ENmQiCV_N1c	Music	5	228	13039	sshep12345	13
48Qe37cImnw	Entertainment	4.87	599	3761	Drakinola	23
MenOP2YuLxc	Sports	0	489	110	wermanred	0
jEIb66ZRLYc	Sports	3	258	1911	NigelBraggins	2
Gx4LenxHGEg	Sports	4.5	568	1905	cocker76	10
vjeItnYN1RY	Sports	0	314	168	aestokesrees	0
lseVS97EF3A	Travel & Events	0	242	165	jimvdberg	0
9Teedv9zMzY	Sports	4.62	532	1859	aestokesrees	8
kug5ZuairUo	Sports	0	145	101	cocker76	0
DyzWbxj6O4k	Travel & Events	5	41	188	IMPERATORE0166949079	4
h6ilcpnIaRw	Travel & Events	4.57	320	1523	simonsezproduction	7
TJLq2WZiBBs	Entertainment	4.91	581	6287	staytunedtoswatch	11
Zay8SPfgdtA	People & Blogs	0	78	486	basis104	0
k_7LAqDjhq8	Travel & Events	5	511	167	Aussiemystic	1
phygsAlY3OA	Sports	4.12	197	9845	deepmetalmechanic	8
6JuDJ-06yZU	Travel & Events	4.64	471	4778	denniscallan	11
igY8jzcEO0A	Travel & Events	4.43	588	2920	simonsezproduction	7
9fu9o4N15Lk						
D0_n1DhnBZE	Sports	0	40	19	kpalleh	0
OIRiYXaMZAg	Sports	4.73	243	4580	xhalefilms	30
#NAME?	Music	4.33	488	1357	xhalefilms	3
V_edqA1wpP0	Sports	3.43	473	2623	Squadmen	7
BSbvedMd6FA	Comedy	5	600	376	polybus11	3
sGx1etSVUX0	Entertainment	0	55	302	hoi428	0
pj_QCin2EpQ	Entertainment	4.33	128	1866	donkersgoed	3
j5Z1iLbU7OY	Comedy	5	6	3861	kentavid	4
#NAME?	Autos & Vehicles	4.43	348	2418	Trance88Master	7
qN4zz--k4XA	Sports	5	402	1174	furaxpolychrome7	2
yY5M8zHWjjw	Travel & Events	3.5	18	409	dublindog	2
mLuNtiC26_A	Sports	0	439	237	stross1992	0
FIPiVGEUTRA	Music	0	577	162	masterbekas	0
eUoDCEE-yBg	Music	0	273	314	fr4jo4	0
8CS1FuHW-n8	Music	0	399	185	fr4jo4	0
QDkPdRtr310	Autos & Vehicles	0	506	155	janKoens	0
zNxXy-tO7l4	Autos & Vehicles	5	309	238	icaninvent	1
xkqRTFsyRcU	Music	0	263	193	deadjay64	0
drAzE43A9Ns						
DIyL1upr6zE	Music	0	270	206	fr4jo4	0
efaH2pu9nAA	Film & Animation	5	261	160	nidiagu	1
1fCQKc_Uem0	Autos & Vehicles	0	283	171	abbeyandrosie	0
lKhekAtQmX0	Entertainment	5	599	260	CottonCow	1
RcbR-aHBt8o	Music	5	402	522	fr4jo4	1
08JInh8Slx0	Education	5	158	4967	shokaten	3
RgsHG2aVmLU	Comedy	5	212	1333	shokaten	1
0S2iYz0KZm0	Comedy	0	79	1600	grncarovski	0
nmICYUFhHco	Travel & Events	4	382	4257	VMOPO	24
Kj7LkIXS4dw	Education	5	553	610	VMOPO	9
cz2UM7uL_1c	Education	5	503	288	VMOPO	7
CYUc4H6_L5k	Education	4.43	595	242	VMOPO	7
KgHLb0z8AHQ	Education	5	457	276	VMOPO	7
vdM2Ti2YYXQ	Education	5	542	224	VMOPO	4
h34UUJnjj4I	Education	5	521	201	VMOPO	5
rG-5n7iSMPM	Pets & Animals	5	638	1561	renatosena2003	1
Nqonz-o6i4Q	Education	5	471	129	VMOPO	4
c63p2PdAcec	Film & Animation	3.67	291	2535	renatosena2003	3
HPWWLyA8iCc	Sports	5	148	1810	resne	1
SwSSyngRFss	Music	0	166	1307	senat64	0
bLO5G8b7pB0	Travel & Events	3.57	98	471	VMOPO	14
GCNDFTePkHg	Education	0	188	384	stormmacedonia	0
5Tq2drjr6Lc	Comedy	0	96	2397	elencevski	0
ZozTCX4LLn8	Education	5	244	75	VMOPO	3
wEQ54SUxtiI	Education	5	596	178	VMOPO	4
k2pF-7mIpGU	Science & Technology	4.67	425	2817	4ezMoney	12
nRmmcrZZGRI	Autos & Vehicles	5	334	1136	911stealth2	2
zoz5S1GQb_o	 UNA 	3.88	255	159	911octopus	16
RC71TjXb05w	News & Politics	4	309	2881	MajorCalloway	4
BRx0s0uHeNk	Nonprofits & Activism	3.5	573	83	anonymozzybinoswald	8
eN6JCfKtLDk	Nonprofits & Activism	3.4	611	56	anonymozzybinoswald	5
uZTCPTpWZUY	Nonprofits & Activism	3	597	25	anonymozzybinoswald	4
3MzEiNL27Bs	News & Politics	4	452	39	anonymozzybinoswald	4
asl6zQexKFI	Nonprofits & Activism	3.67	617	256	anonymozzybinoswald	12
oe0XiSQeaTg	Nonprofits & Activism	3	279	23	anonymozzybinoswald	4
fLzC02FaQ0g	News & Politics	3.4	556	27	anonymozzybinoswald	5
xqv2U_dpdf0	News & Politics	3.67	568	76	anonymozzybinoswald	3
HuxNXwyyv7M	News & Politics	4.21	395	2544	bsregistration	29
Ob3AzZhmIeU	News & Politics	3.4	519	58	anonymozzybinoswald	5
Bvuj6AX-Dok	Nonprofits & Activism	2.6	563	72	anonymozzybinoswald	5
efo58MoLU5U	Nonprofits & Activism	3.67	462	133	anonymozzybinoswald	6
ZPH5HYwry6c	News & Politics	4	376	45	anonymozzybinoswald	4
wr3Tu7dekEA	Nonprofits & Activism	4.43	127	165	anonymozzybinoswald	7
QXi02GoU6mo	News & Politics	3.67	597	133	anonymozzybinoswald	6
d2vFJsJsmJQ	News & Politics	4	570	43	anonymozzybinoswald	4
VhYmtRZmWhM	Comedy	5	395	315	Ololadin12	2
2NXw4CD7Ps4	Entertainment	0	243	400	TheStoepsel2001	0
nAu1aHBoVKo	Entertainment	4.45	193	114474	EA	165
WqJNDP0_qto	Entertainment	4.69	281	7268	nickbonanno	13
Eze-PHENGas	Entertainment	3.82	151	8734	Jomei014	17
sM_fLzHuB4E	Entertainment	5	263	1849	BanLin	2
lQF7-HBysc0	Entertainment	4.83	143	1933	punkish69	18
X4SMUGxNPfI	People & Blogs	4.11	186	2298	mikerodriguez	9
SXAoz6uTAcw	Entertainment	4.33	270	1791	lostsanity11	18
FO0BeuOKM3E	Entertainment	4.06	31	636998	a16production	1745
v9EPv8rjj_8	Entertainment	0	383	572	MaudusKiwie	0
T1pQJZ-g1bk	Entertainment	3.5	402	486	ppoppens	2
7i6_7UHrPHg	Entertainment	4	92	5994	chongo158	20
DQ13hjDPqDc	Entertainment	3.8	124	946	Hengsen	5
G4YUCUmmXms	Entertainment	5	595	234	drakan1981	1
ZR4V1bhlsMs	People & Blogs	5	88	1204	petervv19	3
TYiC6Ax1Sac	Entertainment	3.75	430	3384	manicmommies	8
v_YVZjsNans	People & Blogs	5	305	323	tmhw11	1
VKM8BR-hZwQ	Entertainment	5	187	870	pioneerpresstech	1
TSJXTeq0NfM	Entertainment	5	242	1056	Hengsen	2
za_hfryoLi4	Entertainment	5	102	201	Morenower	2
D2o4I1_bmgQ	Travel & Events	4.33	285	3951	rejoder	3
wsZ8qXb4tfo	Entertainment	0	144	1117	MadMonty2006	0
MQ17UHldB5I	Travel & Events	4	202	668	siobhand87	1
0DH2hi2N2mY	Entertainment	4.89	479	2942	smdani	9
neVEP_j1Gck	Travel & Events	0	34	42	bgiemaria	0
V9M_ZWoqEfg	Travel & Events	0	37	28	bgiemaria	0
Upjmsu_Q97c	Entertainment	0	550	169	fallaausiasmarch	0
jKa4KulbMOg	Travel & Events	5	40	646	pardo800	2
1P2X3DaRsYs	Travel & Events	0	190	92	meercatsteve	0
#NAME?	Travel & Events	0	337	23	globaleyevision	0
xOs63DpVamg	Film & Animation	4.67	497	898	YeReMaT	3
Y1_OBFywJA0	Travel & Events	0	161	438	rejoder	0
HXuCNPxdddk	Entertainment	4.33	231	8705	raffaelmilano	3
wCWhQPspWL0	Entertainment	5	297	835	dolovera	3
Wb5-AuYT9Gs	People & Blogs	4.33	260	1010	onfalla	3
hXc-0Wi2J4U	Film & Animation	5	596	343	YeReMaT	1
KKgQUK_9rt0	Travel & Events	0	410	4	Mavericky85	0
daSfMGHkOsA	Travel & Events	0	124	272	vorosoktober	0
ppFq7HCZw3o	Film & Animation	5	592	195	YeReMaT	1
FmWbBqiCxGc	Music	4.86	256	13939	hockeygal74	37
ZfV6YnYAdGg	Music	4.69	247	64658	NicholasSta	185
6ZlTND7nt4s	Music	4.44	249	2816	lenbot	25
7J5sBhHQjAQ	Comedy	4	233	49417	fashionartbooks	52
C1BdpnU_D8s	Music	4.88	191	3805	MiniDVGL2	8
JKUOiLUp4lg	Music	4.9	296	5346	MiniDVGL2	10
K0mdqYq0GQM	Music	4.33	600	719	deafpedfan	6
bMd_dXYb9yc	Music	4.5	244	2138	wardd413	4
_KVr7VOTwTQ	News & Politics	5	577	708	SearlesWorld	1
hlXVCVMr_pk	Autos & Vehicles	4.32	178	6656	lotteryjerk	19
n5-rcMO5kj8	Entertainment	4.43	251	750	xTylerLeMarx	7
estWpDFXTuo	Entertainment	5	487	337	jacqu7100	2
Lwe7ELuam2c	Music	5	186	1014	deepfry	2
6fwsBzbKAV4	Autos & Vehicles	5	342	477	duramax6600	3
qBeWdYmratU	Music	5	501	164	DeafPedestrians	3
7rSKlk33o5M	Music	0	338	367	jamesetakacs	0
troRgZhHXQ4	Music	5	240	949	wardd413	1
j4hHlkqC-CM	Music	0	302	346	jimfear13	0
bOcjQbRTqO8	Music	4.49	249	26696	dsaunts3	82
OvvnpN7MbWI	Music	4.67	296	4232	budelvideo	9
SHTo0zqWcac	Entertainment	4	1052	94	NFBCmedia	4
H3qvKE52J6I	Entertainment	3.67	896	74	NFBCmedia	3
fsyT45-8hOE	Entertainment	3	1026	39	NFBCmedia	4
nDkLBSSX23A	People & Blogs	4.56	177	96	SuteUp	9
#NAME?	Entertainment	2.33	959	41	NFBCmedia	3
br8y-tCaRXs	Entertainment	4.67	1085	64	NFBCmedia	3
mm3F5sEAYaY	Entertainment	0	1068	67	NFBCmedia	0
kIelP3sI5C8	Entertainment	0	1099	42	NFBCmedia	0
CHZUDPmmBRo	Entertainment	5	1150	62	NFBCmedia	1
k0fiwlPOZTA	Entertainment	0	819	52	NFBCmedia	0
HYhdWVqpkWo	Entertainment	0	1002	29	NFBCmedia	0
gZ13GZgfzGQ	People & Blogs	3.86	351	147	NephilimFree	7
6lE7iQMDELo	Music	4.33	279	1325	unsilencedbeauty	3
c07yjxe1evY	Music	4.82	403	129957	slammerbammer	292
-08YZF87OBQ	Music	4.96	426	11564	WimNL	26
TKSe6siY5wc	Music	4.85	265	22092	jedimindless	72
0wC_yfyiwpM	Music	5	410	4149	ziyulu	20
XGSg5s41uiM	Entertainment	5	961	52	NFBCmedia	2
vTOSSbmmWvQ	Entertainment	5	1028	35	NFBCmedia	1
RwnbEzGC5D0	Music	5	410	600	gospel1992	1
Bcp_dPVfxVY	Music	5	565	301	gselander	1
3M3JntKL4ag	Music	5	539	166	gselander	2
kFgeqTb8Fqw	Music	5	260	165	gselander	1
qOeto6Cy3ws	Music	5	518	75	gselander	1
#NAME?	Music	5	311	83	gselander	3
Dz2fUGxH_vI	Music	5	596	49	gselander	1
tgch4IkyShE	Music	5	417	61	gselander	1
KF14_JtnJSA	Music	5	304	33	gselander	2
eLzpEsF88Qo	Music	0	559	49	gselander	0
WNg1BX_QooY	Music	5	620	66	gselander	1
YImiFk3dd98	Music	5	527	53	gselander	1
BGfxaBXde50	Music	5	495	32	gselander	1
DOtCHt0NbTw	Music	0	472	17	gselander	0
Rf5z2UBH4Qk	Music	0	549	33	gselander	0
RSFeaU17Q8Y	Music	0	511	23	gselander	0
8d5N2eRa1ZE	Music	5	598	34	gselander	1
